DateKey,Date,Day,WeekNo,Month,MonthShort,MonthNo,Quarter,Year
20220101,01-01-2022,Saturday,1,January,Jan,1,1,2022
20220102,02-01-2022,Sunday,2,January,Jan,1,1,2022
20220103,03-01-2022,Monday,2,January,Jan,1,1,2022
20220104,04-01-2022,Tuesday,2,January,Jan,1,1,2022
20220105,05-01-2022,Wednesday,2,January,Jan,1,1,2022
20220106,06-01-2022,Thursday,2,January,Jan,1,1,2022
20220107,07-01-2022,Friday,2,January,Jan,1,1,2022
20220108,08-01-2022,Saturday,2,January,Jan,1,1,2022
20220109,09-01-2022,Sunday,3,January,Jan,1,1,2022
20220110,10-01-2022,Monday,3,January,Jan,1,1,2022
20220111,11-01-2022,Tuesday,3,January,Jan,1,1,2022
20220112,12-01-2022,Wednesday,3,January,Jan,1,1,2022
20220113,13-01-2022,Thursday,3,January,Jan,1,1,2022
20220114,14-01-2022,Friday,3,January,Jan,1,1,2022
20220115,15-01-2022,Saturday,3,January,Jan,1,1,2022
20220116,16-01-2022,Sunday,4,January,Jan,1,1,2022
20220117,17-01-2022,Monday,4,January,Jan,1,1,2022
20220118,18-01-2022,Tuesday,4,January,Jan,1,1,2022
20220119,19-01-2022,Wednesday,4,January,Jan,1,1,2022
20220120,20-01-2022,Thursday,4,January,Jan,1,1,2022
20220121,21-01-2022,Friday,4,January,Jan,1,1,2022
20220122,22-01-2022,Saturday,4,January,Jan,1,1,2022
20220123,23-01-2022,Sunday,5,January,Jan,1,1,2022
20220124,24-01-2022,Monday,5,January,Jan,1,1,2022
20220125,25-01-2022,Tuesday,5,January,Jan,1,1,2022
20220126,26-01-2022,Wednesday,5,January,Jan,1,1,2022
20220127,27-01-2022,Thursday,5,January,Jan,1,1,2022
20220128,28-01-2022,Friday,5,January,Jan,1,1,2022
20220129,29-01-2022,Saturday,5,January,Jan,1,1,2022
20220130,30-01-2022,Sunday,6,January,Jan,1,1,2022
20220131,31-01-2022,Monday,6,January,Jan,1,1,2022
20220201,01-02-2022,Tuesday,6,February,Feb,2,1,2022
20220202,02-02-2022,Wednesday,6,February,Feb,2,1,2022
20220203,03-02-2022,Thursday,6,February,Feb,2,1,2022
20220204,04-02-2022,Friday,6,February,Feb,2,1,2022
20220205,05-02-2022,Saturday,6,February,Feb,2,1,2022
20220206,06-02-2022,Sunday,7,February,Feb,2,1,2022
20220207,07-02-2022,Monday,7,February,Feb,2,1,2022
20220208,08-02-2022,Tuesday,7,February,Feb,2,1,2022
20220209,09-02-2022,Wednesday,7,February,Feb,2,1,2022
20220210,10-02-2022,Thursday,7,February,Feb,2,1,2022
20220211,11-02-2022,Friday,7,February,Feb,2,1,2022
20220212,12-02-2022,Saturday,7,February,Feb,2,1,2022
20220213,13-02-2022,Sunday,8,February,Feb,2,1,2022
20220214,14-02-2022,Monday,8,February,Feb,2,1,2022
20220215,15-02-2022,Tuesday,8,February,Feb,2,1,2022
20220216,16-02-2022,Wednesday,8,February,Feb,2,1,2022
20220217,17-02-2022,Thursday,8,February,Feb,2,1,2022
20220218,18-02-2022,Friday,8,February,Feb,2,1,2022
20220219,19-02-2022,Saturday,8,February,Feb,2,1,2022
20220220,20-02-2022,Sunday,9,February,Feb,2,1,2022
20220221,21-02-2022,Monday,9,February,Feb,2,1,2022
20220222,22-02-2022,Tuesday,9,February,Feb,2,1,2022
20220223,23-02-2022,Wednesday,9,February,Feb,2,1,2022
20220224,24-02-2022,Thursday,9,February,Feb,2,1,2022
20220225,25-02-2022,Friday,9,February,Feb,2,1,2022
20220226,26-02-2022,Saturday,9,February,Feb,2,1,2022
20220227,27-02-2022,Sunday,10,February,Feb,2,1,2022
20220228,28-02-2022,Monday,10,February,Feb,2,1,2022
